mep_id,date,occupation,activity,first_name,last_name,country,eugroup
96764,occupation,EP,4,Hermann,WINKLER,Germany,PPE
96764,membership,DFB,0,Hermann,WINKLER,Germany,PPE
96764,membership,NOFV,0,Hermann,WINKLER,Germany,PPE
96764,membership,Sächsischer FV,0,Hermann,WINKLER,Germany,PPE
28228,occupation,Mitglied     des    Europäischen  Parlaments,4,Albert,DESS,Germany,PPE
28228,membership,VORSTAND DER BÄUERLICHEN  GENOSSENSCHAFT BAYERNLAND E.G.,3,Albert,DESS,Germany,PPE
28228,membership,MITGLIED                   IM  GENOSSENSCHAFTLICHEN BEIRAT  DER   BAYWA                AG MÜNCHEN,1,Albert,DESS,Germany,PPE
28228,membership,PRÄSIDENT DES VERBANDS  BAYERISCHER BERUFSFISCHER (VBB),1,Albert,DESS,Germany,PPE
28228,membership,VEREIN NACHWACHSENDE  ROHSTOFFE (VNR),0,Albert,DESS,Germany,PPE
28228,membership,MITGLIED   IM   BEIRAT  FÜR   SPARKASSENPOLITISCHE GRUNDSATZFRAGEN        DES SPARKASSENVERBANDS BAYERN,1,Albert,DESS,Germany,PPE
125030,occupation,Boerin,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
125030,occupation,Adviseur,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
125030,occupation,Lid Parlement Nederland,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
4289,occupation,Mitglied     des    Europäischen  Parlaments,4,Angelika,NIEBLER,Germany,PPE
4289,activity,Freiberufliche Tätigkeit (Of Counsel) für  die Anwaltskanzlei Gibson| Dunn & Crutcher LLP,3,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Stiftungsrates der  Alfons-Goppel-Stiftung,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Vorsitzende des Aufsichtsrates des  Fa. metabion international AG (Mtl. Einkommen: € 85 vor Steuern),1,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Steering Committee der  European Internet Foundation,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Kuratoriums        der  Technischen Universtät München,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Präsidiums         des  Wirtschaftsbeirates der Union,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Beirates für  sparkassenpolitische Grundsat des Sparkassenverbandes Bayer (Mtl. Einkommen: unter € 300  Steuern),1,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Senats der Max-  Planck-Gesellschaft zur Förderun Wissenschaften,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Vorstandes der Hanns-  Seidel-Stiftung,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Stellvertretende Präsidentin des  Stiftungsrats der SWP Stiftung Wissenschaft und Politik,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Aufsichtsrates der  LVM Krankenversicherungs-AG,2,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Kuratoriums der TÜV  SÜD Stiftung,3,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Kuratoriums des  ifo Instituts - Leibniz-Institut  Wirtschaftsforschung an der Unive München,0,Angelika,NIEBLER,Germany,PPE
38398,occupation,Lid Europees Parlement,3,Esther,de LANGE,Netherlands,PPE
38398,membership,Lid Stichting Schnitorgel Zwolle,0,Esther,de LANGE,Netherlands,PPE
38398,membership,Lid Werkveldcommissie          Zuyd  Hogeschool,0,Esther,de LANGE,Netherlands,PPE
38398,membership,Bestuurslid     Vrienden   van     de  Talenacademie,0,Esther,de LANGE,Netherlands,PPE
96761,occupation,Europaabgeordneter,4,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Mittelstands- und  Wirtschaftsvereinigung der CDU/CSU,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Kommunalpolitischen  Vereinigung der CDU und CSU Deutschlands,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied     des  Evangelischen  Arbeitskreises der CDU/CSU,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Stiftung Christlich-  Soziale Politik e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Vorsitzender der Europa-Union  Deutschland| Kreisverband Bonn/ Rhein-Sieg e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Vizepräsident   des    Mérite  Européen Freundes- und Förderkreises Deutschland e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Senator der SME              Europe|  Mittelstands-                      und Wirtschaftsvereinigung              der Europäischen Volkspartei,0,Axel,VOSS,Germany,PPE
96761,membership,Stellvertretender Vorsitzender des  Mid-Atlantik Club Bonn e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der European Logistics  Platform,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied im cnetz – Verein für  Netzpolitik e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Deutsch-Australischen  Juristenvereinigung e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Partnerschaft Bonn-  Cape Coast (Ghana) e.V.,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied des Weißen Rings e.V.|  Fachbeirat Europa und Internationale,0,Axel,VOSS,Germany,PPE
185341,occupation,Veleposlanica,3,Željana,ZOVKO,Croatia,PPE
185341,occupation,Član državnog povjerenstva za  UNESCO,1,Željana,ZOVKO,Croatia,PPE
2002,occupation,Embajador Jefe de la Delegación                                                                        10000 de la UE en Argentina (septiembre 2015 - enero 2017) (El múltiplo más próximo a 10.000 euros),5,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,occupation,Asesoría       Relaciones  Internacionales (fin 2014 - agosto 2015),4,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,occupation,Diputado al PE (1994 - 2014),4,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,occupation,Vicp. Secc. Española Mov.  Europeo,0,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,occupation,Patrono       Fundación       Euro-  América,0,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,membership,Fundación Euro-América,0,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
2002,membership,Secc. Española del Consejo Federal  del Movimiento Europeo,0,José Ignacio,SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
185340,occupation,Stručni savjetnik u tvrtki koja se  bavi javnim prijevozom,2,Ivica,TOLIĆ,Croatia,PPE
1928,occupation,MdEP seit 1994,4,Werner,LANGEN,Germany,PPE
1928,membership,VEREIN ZUR FÖRDERUNG DER  WETTBEWERBSWIRTSCHAFT E.V.| BERLIN (VORSITZENDER),0,Werner,LANGEN,Germany,PPE
1928,membership,LUDWIG-ERHARD-STIFTUNG  (STIFTUNGSMITGLIED),0,Werner,LANGEN,Germany,PPE
1928,membership,KONRAD-ADENAUER-  STIFTUNG (STIFTUNGSMITGLIED,0,Werner,LANGEN,Germany,PPE
4246,occupation,MEP,4,Othmar,KARAS,Austria,PPE
4246,occupation,Lehrbeauftragter         Donau  Universität Krems,2,Othmar,KARAS,Austria,PPE
4246,membership,Präsident Hilfswerk Österreich,0,Othmar,KARAS,Austria,PPE
4246,membership,Obmann Bürgerforum Europa 2020,0,Othmar,KARAS,Austria,PPE
4246,membership,Ehrenprofessor Donau-Universität  Krems,0,Othmar,KARAS,Austria,PPE
4246,membership,Vorsitzender SME-Intergruppe,0,Othmar,KARAS,Austria,PPE
4246,membership,Beirat Kapitalmarktforum,0,Othmar,KARAS,Austria,PPE
4246,membership,Mitglied des Steering Committees  des European Parliamentary Financial Services Forum| Brüssel,0,Othmar,KARAS,Austria,PPE
4246,membership,Beirat Europäisches Zentrum für E-  Commerce und Internet Recht,0,Othmar,KARAS,Austria,PPE
28224,occupation,Europaabgeordneter,4,Markus,PIEPER,Germany,PPE
28224,membership,Stellvertretender Vorsitzender des  Deutschland- und Europapolitischen Bildungswerks       NRW       (DEPD)| Tecklenburg,0,Markus,PIEPER,Germany,PPE
28224,membership,Mitglied     im     Kuratorium  des     Max-Planck-Instituts     für Stammzellenforschung|     Universitä Münster,0,Markus,PIEPER,Germany,PPE
28224,membership,Lehrauftrag        Europäische  Regionalpolitik| Universität Münster,1,Markus,PIEPER,Germany,PPE
125016,occupation,Stadträtin Stadt Salzburg                                                                           10000,5,Claudia,SCHMIDT,Austria,PPE
96876,occupation,Député européen,3,Frank,ENGEL,Luxembourg,PPE
96876,membership,Administrateur de GSG (Global Strategies  Group),2,Frank,ENGEL,Luxembourg,PPE
28165,occupation,MEP,4,Lambert,van NISTELROOIJ,Netherlands,PPE
28165,membership,PRISMA      (Verstandelijk  Gehandicapten;  voorz.Raad     van Toezicht),2,Lambert,van NISTELROOIJ,Netherlands,PPE
28165,membership,K4I (Knowledge4Innovation),0,Lambert,van NISTELROOIJ,Netherlands,PPE
28165,membership,Vughterstede      (Verpleging|  verzorging; Lid Raad van Toezicht),2,Lambert,van NISTELROOIJ,Netherlands,PPE
4282,occupation,Mitglied     des    Europaïschen  Parlaments,4,Renate,SOMMER,Germany,PPE
4282,membership,MAX-PLANCK-INSTITUT FÜR  ZÜCHTUNGSFORSCHUNG| KÖLN: MITGLIED DES KURATORIUMS (EHRENAMT OHNE VERGÜTUNG),0,Renate,SOMMER,Germany,PPE
4282,membership,BIERCLUB DES EUROPÄISCHEN  PARLAMENTS|       PRÄSIDENTIN (EHRENAMT OHNE VERGÜTUNG),0,Renate,SOMMER,Germany,PPE
23821,occupation,Európai parlamenti képviselő,4,József,SZÁJER,Hungary,PPE
23821,membership,Batthyány       Lajos    Alapítvány  kuratóriumi tag,0,József,SZÁJER,Hungary,PPE
23821,membership,Bibó István Szakkollégiumért  Alapítvány Tanácsadó Testület| t,0,József,SZÁJER,Hungary,PPE
125104,occupation,Poslanka,4,Romana,TOMC,Slovenia,PPE
125104,occupation,direktorica javnega sklada,3,Romana,TOMC,Slovenia,PPE
125104,membership,Predsednica dobrodelne ustanove za  štipendiranje Ivana Cankarja,0,Romana,TOMC,Slovenia,PPE
96779,occupation,Member of the European  Parliament,4,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Advisory Board  of the European Policy Center,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Advisory Board  of the Institute of Public Affai,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the European  Council on Foreign Relatio (ECFR),0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  Directors of the Center fo European Policy Studies,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  the European Financial Ser Forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Knowledge for  innovation forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the European Internet  Foundation (EIF),0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Programming  Board of the European Forum o New Ideas,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  Making the Most of EU Funds Roma,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Steering  Committee of the Spinelli G,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Group of  Eminent Persons,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Programming  Board of the Women's Congress,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Advisory Board of the  European Policy Center,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Advisory Board of the  Institute of Public Affairs,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the European Council on  Foreign Relations (ECFR),0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Board of Directors of  the Center for European Policy Studies,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Board of the European  Financial Services Forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
