Alliot-Marie,1179
Andrikienė,
Arimont,24922
Bach,97293
Becker,107041
Belet,28257
Bendtsen,96705
Bogovič,
Buzek,28269
vandeCamp,
Casa,28122
Caspary,28219
delCastilloVera,
Christoforou,26837
Cicu,124854
Coelho,1892
Collin-Langen,112788
Comi,96775
Danjean,96747
Dantin,97296
Dati,72775
Delahaye,124732
Deli,124714
Deß,
DíazdeMeraGarcíaConsuegra,
Dorfmann,96787
Ehler,28226
Engel,96876
EstaràsFerragut,
Faria,125101
Ferber,1917
Fernandes,96899
Florenz,1038
Gambús,
Gardini,58758
Gieseke,124807
GonzálezPons,
deGrandesPascual,
Gräßle,
Grossetête,
Grzyb,23785
Hetman,124895
Hohlmeier,96780
Hökmark,
Hortefeux,5565
Hübner,
Iturgaiz,28398
Jahr,96772
Jazłowiecka,
Jiménez-BecerrilBarrio,
Joulaud,124728
Juvin,96884
Kalinowski,96771
Karas,4246
Kariņš,
Kefalogiannis,125068
Kelam,28424
Koch,1852
Kósa,
Kovatchev,97968
Kozłowska-Rajewicz,
Kuhn,96767
Kukan,96651
Kyrtsos,125063
Lamassoure,1204
deLange,
Langen,1928
Lavrilleux,124731
Lenaers,95074
Lewandowski,23781
Lins,124808
López-IstúrizWhite,
McAllister,124806
Maletić,
Malinov,111027
Mann,1922
Marinescu,33982
Martusciello,124828
Mato,96936
Maullu,133326
Melo,96978
Metsola,118859
Mikolášik,
MillánMon,
MonteirodeAguiar,
Morano,72779
Morin-Chartier,38596
Mureşan,
Niebler,4289
Niedermayer,124701
vanNistelrooij,
Novakov,107212
Olbrycht,28288
Pabriks,124743
Peterle,23693
Petir,124749
Pieper,28224
Plura,124881
Polčák,
Ponga,96931
Preda,96838
Proust,108080
Quisthoudt-Rowohl,1055
Radev,124850
Rangel,96903
Reding,1185
Ribeiro,124733
Rolin,125107
Ruas,124730
Rübig,
SalafrancaSánchez-Neyra,
Salini,125670
Sander,24594
Saudargas,96696
Schmidt,125016
Schöpflin,
Schreijer-Pierik,125030
Schulze,124809
Schwab,28223
Siekierski,23787
Sógor,
Sommer,4282
Štefanec,124929
Štětina,
Stolojan,39721
Šulin,125103
Svoboda,96272
Szájer,
Szejnfeld,124890
ThunundHohenstein,
Tolić,
Tomc,125104
Ţurcanu,131750
Ungureanu,96835
Urutchev,38601
Vaidere,28617
ValcárcelSiso,
Vălean,
Verheyen,96756
Virkkunen,124726
Voss,96761
Wałęsa,
WeberManfred,
Wenta,124903
Wieland,2323
WinklerHermann,
WinklerIuliu,
Záborská,
Zagorakis,125067
Zammit,
Dimech,
Zdechovský,
Zdrojewski,124893
Zeller,96762
Zovko,185341
Zver,96933
Zwiefka,28301
Arthuis,124773
Cavada,28206
Riquet,96885
Rochefort,97022
Uspaskich,96698
Karlsson,124876
Marias,125069
Bergeron,124740
James,124939
Voigt,124832
